"country","state","city","zip_from","zip_to","weight_from","weight_to","price_from","price_to","qty_from","qty_to","frpp","name_delivery","shipping_type","rate","ppp","frpuw","estimated_delivery"
"US",0,,"00500-00599,01000-01399,01500-01699,05200-05399,06000-12799,13700-13999,14800-14999,17000-19999,21000-21299,21900-21999",,"44.001",45,0,99999999,0,99999999,"24.29","Ground",,0,0,0,0
"US",0,,"00500-00599,01000-01399,01500-01699,05200-05399,06000-12799,13700-13999,14800-14999,17000-19999,21000-21299,21900-21999",,"45.001",46,0,99999999,0,99999999,"24.696","Ground",,0,0,0,0
"US",0,,"00500-00599,01000-01399,01500-01699,05200-05399,06000-12799,13700-13999,14800-14999,17000-19999,21000-21299,21900-21999",,"46.001",47,0,99999999,0,99999999,"24.794","Ground",,0,0,0,0
"US",0,,"00500-00599,01000-01399,01500-01699,05200-05399,06000-12799,13700-13999,14800-14999,17000-19999,21000-21299,21900-21999",,"47.001",48,0,99999999,0,99999999,"24.808","Ground",,0,0,0,0
"US",0,,"00500-00599,01000-01399,01500-01699,05200-05399,06000-12799,13700-13999,14800-14999,17000-19999,21000-21299,21900-21999",,"48.001",49,0,99999999,0,99999999,"24.822","Ground",,0,0,0,0
"US",0,,"00500-00599,01000-01399,01500-01699,05200-05399,06000-12799,13700-13999,14800-14999,17000-19999,21000-21299,21900-21999",,"49.001",50,0,99999999,0,99999999,"24.822","Ground",,0,0,0,0
"US",0,,"00500-00599,01000-01399,01500-01699,05200-05399,06000-12799,13700-13999,14800-14999,17000-19999,21000-21299,21900-21999",,"50.001",51,0,99999999,0,99999999,"24.836","Ground",,0,0,0,0
"US",0,,"00500-00599,01000-01399,01500-01699,05200-05399,06000-12799,13700-13999,14800-14999,17000-19999,21000-21299,21900-21999",,"51.001",52,0,99999999,0,99999999,"24.85","Ground",,0,0,0,0
"US",0,,"00500-00599,01000-01399,01500-01699,05200-05399,06000-12799,13700-13999,14800-14999,17000-19999,21000-21299,21900-21999",,"52.001",53,0,99999999,0,99999999,"24.864","Ground",,0,0,0,0
"US",0,,"00500-00599,01000-01399,01500-01699,05200-05399,06000-12799,13700-13999,14800-14999,17000-19999,21000-21299,21900-21999",,"53.001",54,0,99999999,0,99999999,"24.864","Ground",,0,0,0,0
"US",0,,"00500-00599,01000-01399,01500-01699,05200-05399,06000-12799,13700-13999,14800-14999,17000-19999,21000-21299,21900-21999",,"54.001",55,0,99999999,0,99999999,"24.878","Ground",,0,0,0,0
"US",0,,"00500-00599,01000-01399,01500-01699,05200-05399,06000-12799,13700-13999,14800-14999,17000-19999,21000-21299,21900-21999",,"55.001",56,0,99999999,0,99999999,"24.892","Ground",,0,0,0,0
"US",0,,"00500-00599,01000-01399,01500-01699,05200-05399,06000-12799,13700-13999,14800-14999,17000-19999,21000-21299,21900-21999",,"56.001",57,0,99999999,0,99999999,"25.242","Ground",,0,0,0,0
"US",0,,"00500-00599,01000-01399,01500-01699,05200-05399,06000-12799,13700-13999,14800-14999,17000-19999,21000-21299,21900-21999",,"57.001",58,0,99999999,0,99999999,"25.256","Ground",,0,0,0,0
"US",0,,"00500-00599,01000-01399,01500-01699,05200-05399,06000-12799,13700-13999,14800-14999,17000-19999,21000-21299,21900-21999",,"58.001",59,0,99999999,0,99999999,"25.606","Ground",,0,0,0,0
"US",0,,"00500-00599,01000-01399,01500-01699,05200-05399,06000-12799,13700-13999,14800-14999,17000-19999,21000-21299,21900-21999",,"59.001",60,0,99999999,0,99999999,"25.802","Ground",,0,0,0,0
"US",0,,"00500-00599,01000-01399,01500-01699,05200-05399,06000-12799,13700-13999,14800-14999,17000-19999,21000-21299,21900-21999",,"60.001",61,0,99999999,0,99999999,"26.222","Ground",,0,0,0,0
"US",0,,"00500-00599,01000-01399,01500-01699,05200-05399,06000-12799,13700-13999,14800-14999,17000-19999,21000-21299,21900-21999",,"61.001",62,0,99999999,0,99999999,"26.656","Ground",,0,0,0,0
"US",0,,"00500-00599,01000-01399,01500-01699,05200-05399,06000-12799,13700-13999,14800-14999,17000-19999,21000-21299,21900-21999",,"62.001",63,0,99999999,0,99999999,"26.684","Ground",,0,0,0,0
"US",0,,"00500-00599,01000-01399,01500-01699,05200-05399,06000-12799,13700-13999,14800-14999,17000-19999,21000-21299,21900-21999",,"63.001",64,0,99999999,0,99999999,"27.244","Ground",,0,0,0,0
